comments,label,text,processed_comments,processed_newstitle,labels
그리 기대했는데.. 사실 짜증남 아직까지.. 대체 그많은 캐리터들 ㅜ 골고루 분배도 안되고 뭐지? 하다 끝남..결국 타노스가 최강이었던거? 스포죄송합니다만 저처럼 기대넘하고보믄 안될것같은..,none,"[단독][팩트체크] '어벤져스:엔드게임' 4시간30분만 100만 돌파는 허수
",그리 기대했는데 사실 짜증남 아직까지 대체 많은 캐리터들 ㅜ 골고루 분배도 안 되고 뭐지 하다 끝남 타노스가 최강이었던 거 스포죄송합니다만 저처럼 기대 넘하고 보믄 안 될 같은,단독팩트 체크 어벤져스 엔드 게임 4시간30분만 100만 돌파는 허수,0.0
그리고 리얼로하니 중간에 아니다 싶음 관두는거지. 그런 커플 몇 있었지..그런데 이런 경우 여자는 어려서 상처 안받는데 늙은 노총각들이 좀 기대했다가 실망했겠지..어차피 어린 여자는 자기 홍보 그 이상도 이하도 아님,offensive,"""[단독] 한정수 측근 """"'연애의맛3' 진짜 데이트처럼...정말 진지해"""" (인터뷰) ""
",리얼로하니 중간에 아니다 싶음 관두는 거지 그런 커플 있었지 경우 여자는 어려서 상처 안 받는데 늙은 노총각들이 기대했다가 실망했겠지어차피 어린 여자는 홍보 이상도 하도 아님,단독 한정수 측근 연애의 맛 진짜 데이트처럼정말 진지해 인터뷰,1.0
그리고 비키니 입는건 좋은데 가슴은 좀 가렸으면... 엄마라서 비키니 못입는게 아니라 가슴골까지는 괜찮지만 아이앞에서 반이상 보여주는건 아닌듯... 아이가 없다하더라도 나중에 사진으로라도 볼텐데,offensive,"""슈, 동안미모+아찔한 수영복 자태로 시선강탈 """"밥을 먹을 수가 없네""""""
",비키니 입는 건 좋은데 가슴은 가렸으면 엄마라서 비키니 못 입는 게 아니라 가슴 골까지는 괜찮지만 반 보여주는 건 아닌 듯 아이가 없다 나중에 사진으로라도 볼 텐데,슈 미모 아찔한 수영복 자태로 시 선강탈 밥을 먹을 수가 없네,1.0
그리고 한채아가불쌍하다 남자가직업이머냐 그리고거짓말하지말라고해라 신라호텔서하는게스몰웨딩이냐 먼돈이있어서거기서하나,offensive,"""[Oh!쎈 레터] 한채아♥차세찌 결혼축가..윤종신, 소속사 가족 챙긴 대표""
",한 채아가 불쌍하다 남자가 직업이머냐 거짓말하지 말라고 해라 신라호텔서 하는 게 스몰웨딩이냐 먼 돈이 있어서 거기서,oh쎈 레터 한 채 차세찌 결혼 축가윤종신 소속사 가족 챙긴 대표,1.0
그리고..소유진.존나 관종인듯.꼴보기 싫으니..그만 나대고.존나 안궁금해..제발 그만나대..,hate,"""[★SHOT!] 소유진, 둘째 딸과 커플 원피스 “오늘 처음 입었다”""
",소유진존 관종인 듯꼴보기 싫으니그만 대고존 안 궁금해제발 만나대,shot 소유진 둘째 딸과 커플 원피스 오늘 처음 입었다,2.0
그만 나대~~~ ㅈ-랄도ㅈ풍년이다,hate,"""""""안타깝다""""...'나 혼자 산다' 한혜진, 후배들 부족한 모습에 '속상'""
",그만 대 ㅈ랄도ㅈ 풍년이다,안타깝다나 산다 한혜진 후배들 부족한 모습에 속상,2.0
그만 나와라,offensive,"""이동국♥이수진, 하와이 여행 중 백허그 '설아-수아-시안은 산타와'""
",그만 나와라,이동국이수진 하와이 여행 중 백허그 설아수아시안은 산타와,1.0
그만 욕했으면. . . 스스로 벌 받고 있잖아요.,none,"[종합] 승리 연예계 은퇴 선언 “난 여기까지”→어차피 수사는 계속됨
",그만 욕했으면 스스로 벌 받고 있잖아요,종합 승리 연예계 은 퇴 선언 난 여기까지 어차피 수사는 계속 됨,0.0
그만 좀 기사 썼으면..... 알고싶지도 않아요,none,"""손현주, 이필모♥서수연 결혼식 사회 인증 “다시 뭉친 ‘솔약국집 아들들’”""
",그만 기 썼으면 알고 싶지도 않아요,손현주 필 모서수연 결혼식 사회 인증 다시 뭉친 솔약국집 아들들,0.0
그만 좀 나데라 악플러 새끼들아 지치지도 않냐? 질려.,hate,"""강한나·오혜원, 연극 관람 태도 논란→릴레이 사과…""""매너 숙지하고 반성""""[종합]""
",그만 나데라 악플러 새끼들아 지치지도 않냐 질려,강한 나오혜원 연극 관람 태도 논란 릴레이 사과 매너 숙지하고 반성종합,2.0
그만 좀 나와라 김종국,offensive,"""'미우새' 김종국, 성형외과 의사 친형 공개..""""코수술 했다고""""""
",그만 나와라 김종국,미우새 김종국 성형외과 의사 친형 공개 코수술 했다고,1.0
그만 좀 싸우자. 서로 조굼씩 이해하려고 노력이라도 해보길,none,"""[이슈S] 오초희→산이, '이수역 폭행' 사건 언급 후폭풍""
",그만 싸우자 서로 조굼씩 이해하려고 노력이라도 해보길,이슈s 오초희산이 이수역 폭행 사건 언급 후폭풍,0.0
그만 좀 해라.지겹다 이제,hate,"이대 라멘집부터 포방터 돈까스..백종원X김성주X조보아가 꼽은 '힐링식당'
",그만 해라지겹 다 이제,이대 라멘집부터 포방터 돈까스백종원 x 김성주 x조보아가 꼽은 힐링식당,2.0
그만 좀해라! 지겹따! 아예 남자들다 없애고 구멍들끼리만 사는게 좋을듯.......,hate,"""[N이슈] 최율, 조재현 성추행 의혹 폭로… 소속사 """"상황 파악 중""""""
",그만 해라 지 겹따 아예 남자들 다 없애고 구멍들끼리만 사는 게 좋을 듯,n이슈 최율 조재현 성추행 의혹 폭로 소속사 상황 파악 중,2.0
그만 하세요~~부끄러운 줄 알고..우리 아이들이 본 받을까 걱정이네요..,none,"""'율희♥' 최민환, 생후 11일된 '짱이' 사진과 산모 율희 사진 공개""
",그만 하세요부끄러운 줄 알고 아이들이 본 받을까 걱정이네요,율희 최민환 생 후 11일 된 짱이 사진과 산모 율희 사진 공개,0.0
그만나오세요 방송나올만큼 잘한것도 없자나요,offensive,"'둥지탈출3' 박잎선이 밝힌 #송종국과 이혼 #양육비 #송지아x송지욱[종합]
",만나 오세요 방송 나올 잘한 것도 없자나요,둥지 탈출3 박잎선이 밝힌 송종국과 혼 양육비 송지아 x송지욱 종합,1.0
그만들좀 해라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개나소나 미투 ㅇㅈㄹ하넼ㅋㅋㅋ하여간 계집련들은 남자등쳐먹는거말곤 할줄아는거 없지,hate,"""[SC이슈]조재현 미투는 ing…""""17세 때 성폭행"""" vs """"공소시효 만료""""(종합)""
",만들 해라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개나소나 미투 ㅇㅈㄹ 하넼ㅋㅋㅋ 하여간 계집련들은 남자 쳐먹는 거 말곤 할 줄 아는 거 없지,sc 이슈 조재현 미투는 ing 17세 성폭행 vs 공소시효 만료종합,2.0
그만좀 벌자 후배들도 벌어야지 그돈가지고 조용히 놀러다니면서 삽시다,offensive,"""[단독] '아별' 보아, 1월 가요계 컴백확정…""""역대급 프로젝트 시동""""""
",그만 벌자 후배들도 벌어야지 돈 가지고 조용히 놀러 다니면서 삽시다,단독 아별 보아 1월 가요계 컴백 확정 역대급 프로젝트 시동,1.0
그만좀 쳐올리자 어?,offensive,"""'차세찌♥' 한채아, 아름다운 한복 자태 """"혼인 잔칫날""""""
",그만 쳐올리자,차세찌 한 채 아름다운 한복 자태 혼인 잔칫날,1.0
그만좀나아요ㅠ성은씨활동좀하게 ㅋㅋ,none,"""[종합]김성은♥정조국, 27일 셋째 득남…다둥이 부모 합류→축하 물결(전문)""
",그만 나아요 ㅠ성은 씨 활동 하게 ㅋㅋ,종합김성은 정 조국 27일 셋째 득남다둥이 부모 합류 축하 물결전문,0.0
그만좀비꼽시다ㅡ솔직히 딸이 대세니 그냥 할수있는말같은디ㅜ왜들그렇게...그냥..건강히 낳길 축복해줍시다~,none,"""하하 """"별 셋째 임신, 아들이면 내가 죄인·딸이면 당당""""""
",그만 좀비 꼽시다ㅡ 솔직히 딸이 대세니 그냥 할 수 있는 말 같은 디ㅜ왜들 그렇게 그냥건강히 낳길 축복해 줍시다,별 셋째 임신 아들이면 내가 죄 인딸이면 당당,0.0
그만좀해라사람죽겄다기자들도기사 그만내라사람하나 죽어나가야 멈출건가벌받고 나올거다알권리도 이미 충족됐다더이상 알고싶지도않다,hate,"""'한밤' 당당했던 박유천, 19일만에 마약 혐의 인정 [종합]""
",그만 해라 사람 죽 겄다기자들도 기사 그만 내라 사람 죽어나가야 멈출 건가벌 받고 나올 거다 알 권리도 미 충족됐다 더 알고 싶지도 않다,한밤 당당했던 박유천 19일 만에 마약 혐의 인정 종합,2.0
그만큼 살아있으면서 가족 애간장 끓였으면 죽을땐 잘가야죠?,hate,"""신성일, 폐암 3기 투병→별세 오보→현재 위독 [종합]""
",그만큼 살아있으면서 가족 애간장 끓였으면 죽을 땐 잘 가야죠,신성일 폐암 3기 투병별세 오보현재 위독 종합,2.0
그만큼 탁제훈을 신뢰할수 있는 매력적인 사람으로 본거겠지,none,"""[종합]'미우새' 탁재훈, 500만원으로 '제주도 집' 산 사연(ft. 김원희 남편♥)""
",그만큼 탁제훈을 신뢰할 수 있는 매력적인 사람으로 본거겠지,종합미우새 탁 재훈 500만원으로 제주도 집 산 사연ft 김원희 남편,0.0
"그만하쟤 이상윤 입에서 ,.개빡!!!!!!!",none,"""[종합]'VIP' 이상윤, 장나라 아닌 표예진 찾아갔다…'오열'에 포옹 '반전 엔딩'""
",그만 하쟤 이상윤 입에서 개빡,종합vip 이상윤 장나라 아닌 표 예진 찾아갔다 오열에 포옹 반전 엔딩,0.0
그만해라 후졌다,offensive,"""신혜선, 아이스버킷챌린지 동참..서은수·오의식·강태오 지목""
",그만해라 후졌다,신혜선 아이스버킷 챌린지 동참서 은수오의식강태오 지목,1.0
그분과는 일만 하시길...배우이미지에 도움될게 하나 없는 듯여...동료배우 거기까지이길...,offensive,"""'현빈 열애설' 손예진, 스위스서 찍은 사진 올리며 """"행복한 추석 보내길""""""
",그분과는 일만 하시길배우 이미지에 도움 될 게 없는 듯 여동료 배우 거기까지 이길,현빈 열애설 손예진 스위스서 찍은 사진 올리며 행복한 추석 보내길,1.0
"그분들 몰려오겠네 에휴, 남한테 피해주는것도 아니고 본인이하고싶어서 하는건데 뭐라고들 하지맙시다.",none,"""[종합]""""건강 우려 vs 개인 패션"""" 현아 '파격 쇄골 피어싱' 설왕설래""
",그분들 몰려오겠네 남한테 피해주는 것도 아니고 본인이 하고 싶어서 하는 건데 뭐라고들 하지 맙시다,종합건강 우려 vs 개인 패션 현아 파격 쇄골 피어싱 설왕설래,0.0
그빛은 엠마가 위험할때 와서 힐해주는거일듯,none,"""‘알함브라 궁전’ 민진웅 시신발견, 사이버 좀비 부활.. 현빈 눈물 (종합)""
",빛은 엠마가 위험할 와서 힐해주는 거일 듯,알함브라 궁전 민진웅 시신 발견 사이버 좀비 부활 현빈 눈물 종합,0.0
그사람의 자식도있다 고만했음 좋겠다 당한사람들도 실명과 이름을 공개하던가 대놓고 한가족 모두 죽어라 고사지내는 꼴같다,none,"""[SC이슈]조재현 미투는 ing…""""17세 때 성폭행"""" vs """"공소시효 만료""""(종합)""
",사람의 자식도 고만 했음 좋겠다 당한 사람들도 실명과 이름을 공개하던 대놓고 한 가족 죽어라 고사지내는 꼴,sc 이슈 조재현 미투는 ing 17세 성폭행 vs 공소시효 만료종합,0.0
그시간에 이제 무얼 하지요.시즌2로 빨리 돌아와 주시면 정말 좋겠어요.기다릴께요~~~.~♡♡,none,"'스토브리그'가 남긴 것들 #장르확장 #작가X감독 #인생캐
",시간에 무얼 하지요 시즌2로 빨리 돌아와 주시면 정말 좋겠어요 기다릴께 요,스토브리그가 남긴 장르 확장 작가 x 감독 인생 캐,0.0
그알 특징 : 내용은 다 아는거 짜깁기 수준이고 의혹만 남발함,none,"""'그것이 알고싶다' #승리 #버닝썬 #성접대 #린사모, 시청률 대폭발 11.2% [종합]""
",알 특징 내용은 다 아는 거 짜깁기 수준이고 의혹만 남발함,그것이 알고 싶다 승리 버닝 썬 성접대 린사모 시청률 대폭발 112 종합,0.0
그알 한남들 진짜 일하는 꼬라지 짜증나지만 러브가 참는다ㅠ 김상중 너도 한남소리 듣기 싫으면 똑바로해,hate,"""[단독] ‘그알’, 뉴이스트 관련 플레디스에 사과문 발표한다""
",알 한 진짜 일하는 꼬라지 짜증나지만 러브가 참는 다ㅠ 김상중 너도 한남소리 듣기 싫으면 똑바로 해,단독 알 뉴이스트 관련 플레디스에 사과문 발표한다,2.0
그알PD 한번 해봅시다 하더니 꼴 좋다 .,offensive,"""'그것이 알고싶다' 故김성재 편, 방송 불가…""""명예훼손 우려""""[공식입장]""
",알pd 한 번 해봅시다 하더니 꼴 좋다,그것이 알고 싶다 故 김성재 편 방송 불가 명예훼손 우려 공식 입장,1.0
그애미에 그딸에 그남편,hate,"""장윤정 모친 ‘4억원 사기 혐의’ 구속…육씨, “돈은 빌렸지만 사기는 아냐”""
",애미에 딸에 남편,장윤정 모친 4억원 사기 혐의 구속육씨 돈은 빌렸지만 사기는 아냐,2.0
"그와중에 박수홍씨언급은 없네용 바쁘셨나 , . 힘내세요코디 . 삼가고인의명복을 빕니다",none,"""'두데' 지석진, DJ 복귀 """"이틀 내내 빈소 지켜준 유재석 너무 고마워""""""
",와중에 박수홍씨 언급은 없네용 바쁘셨나 힘내세요코디 삼가 고인의 명복을 빕니다,두데 지석진 dj 복귀 이틀 내내 빈소 지켜준 유재석 너무 고마워,0.0
그와중에 조보아 너무 예쁘다....ㅠ,none,"""'골목식당' 백종원, 상식 파괴 피자에 혹평…얼어붙은 상황실(종합)""
",와중에 조보아 너무 예쁘다ㅠ,골목식당 백종원 상식 파괴 피자에 혹평 얼어붙은 상황실종합,0.0
그와중에 지성 아직도 유니클로 광고하고있다는 점...,offensive,"""‘의사요한’ 이세영, 지성 숨겨진 병력 알고 충격(종합)""
",와중에 지성 아직도 유니클로 광고하고 있다는 점,의사요한 세영 지성 숨겨진 병력 알고 충격종합,1.0
그입 닥쳐라 ..지금까지 골목시장에 늘어놓은 짜장면집 빽다방등...철수나 하셔....돈 많으넘이 돈 욕심낸다고,hate,"""""""반드시 살려낸다"""" '골목식당' 백종원, 약속 지켰다‥성내동 大성공[어저께TV]  ""
",입 닥쳐라 지금까지 골목시장에 늘어놓은 짜장면 집 빽다방 철수나 하셔돈 많으 넘이 돈 욕심낸다고,살려낸다 골목식당 백종원 약속 지켰다성 내 동 大성공어저께 tv,2.0
그저 은퇴각 ㅋ ✔️✔️,offensive,"""'퀸덤' 박봄, 비밀의 마지막 주인공으로 등장…오마이걸 깜짝""
",은 퇴각 ㅋ,퀸덤 박봄 비밀의 마지막 주인공으로 등장 오마이걸 깜짝,1.0
그쪽지역 출신들이 다 그렇지 뭐 ㅋㅋ,offensive,"""송가인, 행사비 ‘껑충’…축제 관계자 “너무 비싸”""
",그쪽 지역 출신들이 다 뭐 ㅋㅋ,송가인 행사비 껑충 축제 관계자 너무 비싸,1.0
극중 역할이랑 찰떡인듯...!!! 다음화도 볼 의향 있음,none,"""첫방 ‘아스달’ 송중기母 추자현, 어린 장동건 음모 희생양 됐다""
",극중 역할이랑 찰떡인 듯 다음화도 볼 향 있음,첫 방 아스달 송 중기母 추자현 어린 장동건 음모 희생양 됐다,0.0
극중 정경호 아빠 해리포터에서 론 스캐버스(?)피터랑 너무 닮았어요ㅋ,none,"""'라이프 온 마스' 정경호, 1988년 속 아버지와 마주쳤다 '도박으로 체포' 충격 (종합)""
",극중 정 경호 아빠 해리포터에서 론 스캐버스 피터랑 너무 닮았어요ㅋ,라이프 온 마스 정경호 1988년 속 아버지와 마주쳤다 도박으로 체포 충격 종합,0.0
극중 지성이 맡은역할 정말 별로,none,"'아는 와이프' 치매장모 이정은 '지성♥한지민' 연결고리 될까
",극중 지성이 맡은 역할 정말 별로,아는 와이프 치 매장 이정은 지성한지민 연결고리 될까,0.0
근대 불법이거알면서 방송에 내보내쓸까?이슈될꺼뻔한대? 음 머지,none,"[DA:이슈] ‘정글의법칙’ 조작의혹→강력 조치+이열음 보호 약속 (종합)
",근대 불법이거 알면서 방송에 내 보내 쓸까 이슈될 꺼 뻔한 대 음 머지,da 이슈 정글의 법칙 조작 의혹 강력 조치이열음 보호 약속 종합,0.0
근대 이와중에 박나래 못생긴건알았지만 진짜 너무 ㅈㄱㅇ 생겼다 재는 티비에 안나오길 눈썩는다는걸 진심 느낌ㅜ 진심으로여 이건 악플아니예여 내주변 남자들 다박나래 이국주 나옴. 채널돌림,hate,"""[Oh!쎈 초점] 김생민 통편집 '짠내투어'..""""편집 대단""""vs""""매력도 없어져""""""
",근대 이와중에 박나래 못생긴 건 알았지만 진짜 너무 ㅈㄱㅇ 생겼다 재는 티비에 안 나오길 눈썩는다는 걸 진심 느낌 ㅜ 진심으로 이건 악플 아니예여 내 주변 남자들 다 박나래 이국주 나옴 채널 돌림,oh쎈 초점 김생민 통 편집 짠 내 투어편집 대단 vs매력도 없어져,2.0
근대 저분들 조폭인가요?? 딱봐도 최소 조폭경험 있을거 같이 생겻던데...학창시절 괴롭힘 당한사람들 있을거같던데,hate,"""'미우새', 김종국♥홍진영 수영장 데이트에 최고 시청률 20.7%""
",근대 저분들 조폭인가요 봐도 최소 조폭 경험 있을 거 생겻던데학창 시절 괴롭힘 당한 사람들 있을 거 같던데,미우새 김종국 홍진영 수영장 데이트에 최고 시청률 207,2.0
근데 2014년 문자만 공개된거면 그 이후에는 나쁜 짓 한게 없어서 10년 전 카톡으로 협박한거 아님?,none,"주진모 “불법 해킹 공포감…메시지 언급 여성 및 지인에 사과” [전문]
",근데 2014년 문자만 공개된 거면 이후에는 나쁜 짓 한 게 없어서 10년 전 카톡으로 협박한 거 아님,주진모 불법 해킹 공포감 메시지 언급 여성 지인에 사과 전문,0.0
근데 5살도 유모차 씀?? 애가 15년 초 출생인걸로 아는데.. 5살이면 유모차탈나이는 지나지 않았나,none,"""이병헌♥이민정, 4살 아들과 LA 미국 여행 '이병헌…디즈니랜드서 유모차 끌어'""
",근데 5살 도 유모차 씀 애가 15년 초 출생인 걸로 아는데 5살이면 유모차 탈나이는 지나 지 않았나,이병헌 이민정 4살 아들과 la 미국 여행 이병헌 디즈니랜드 서 유모차 끌어,0.0
근데 가왕급으로 배치될급인가..?,none,"""[종합] """"청년사업가 됐다""""…이창민, JYP·빅히트 거쳐 10년만에 독립""
",근데 가왕급으로 배치될 급인가,종합 청년사업가 됐다 이창민 jyp빅히트 거쳐 10년 만에 독립,0.0
근데 걍 이번기회에 빅뱅 다죽이기 들어가는듯.와지 힘 빠지니깐 그동안 덮었던거 까뒤집는듯함.,offensive,"""대성 """"불법영업 인지 못해"""" vs 부동산 """"건물주가 모를 리가""""[종합]""
",근데 걍 기회에 빅뱅 다 죽이기 들어가는 듯와 지 힘 빠지니깐 그동안 덮었던 거 까뒤집는 듯함,대성 불법 영업 인지 못해 vs 부동산 건물주가 모를 리가 종합,1.0
근데 곽선영 창백한데 모성애 자극하는 연기 목소리도 아나운서 같아서 그런가 난 미나가 제일좋다 미나 바람폈어도 어쩔수없는게 있다고 안아주고싶고 용서해주고싶고 그리고 곽선영 럭셔리하게 예쁘다 굿,none,"""[종합]'VIP' 이상윤, 장나라 아닌 표예진 찾아갔다…'오열'에 포옹 '반전 엔딩'""
",근데 곽선영 창백한데 모성애 자극하는 연기 목소리도 아나운서 같아서 그런 난 미나가 제일 좋다 미나 바람 폈어도 어쩔 수 없는 게 있다고 안 아주고 싶고 용 서해주고 싶고 곽선영 럭셔리하게 예쁘다 굿,종합vip 이상윤 장나라 아닌 표 예진 찾아갔다 오열에 포옹 반전 엔딩,0.0
근데 구하라 여자들이 욕하는거아니었나 남자들은 구하라이뻐서 무조건구하라편인데ㅋㅋㅋㅋ,offensive,"""[단독] 구하라가 밝힌 그날 새벽…“폭언, 폭행, 그리고 협박”(인터뷰)""
",근데 구하라 여자들이 욕하는 거 아니었나 남자들은 구하라 이뻐서 무조건 구하라 편인데 ㅋㅋㅋㅋ,단독 구하라가 밝힌 그날 새벽 폭언 폭행 협박인터뷰,1.0
근데 군인은22시이후 외출 불가능아니냐? 군법아님?,none,"""[청룡영화상] 이광수x이하늬x박형식x윤아, 인기상 수상…'군복' 눈길""
",근데 군인은 22시 이후 외출 불가능 아니냐 군 법 아님,청룡영화상 이광수x이하 늬x 박형식 x윤아 인기상 수상 군복 눈길,0.0
근데 궁금한데 이혼하면 시부모나 장인장모랑 어떻게 되냐? 길에서 만나면 어떻게? 되게 궁금하네. 관계가 달라졌으니 서로 뭐라고 호칭할지 어떻게 대할지 궁금해.,none,"""[단독] 박은혜, 결혼 11년 만에 협의 이혼…쌍둥이 아들 양육""
",근데 궁금한데 혼하면 시 부모나 장인 장모랑 되냐 길에서 만나면 되게 궁금하네 관계가 달라졌으니 서로 뭐라고 호칭할지 대할지 궁금해,단독 박은혜 결혼 11년 만에 협의 혼 쌍둥이 아들 양육,0.0
근데 김성주는 아기 입맛이라고 평소에 강조하는데 청국장 전문가??? 아기 입맛과 청국장하고 매핑이 안되는거같은데??,none,"""'골목식당' 지짐이집, 제자리걸음 반복…답답한 백종원(종합)""
",근데 김성주는 아기 입맛이라고 평소에 강조하는데 청국장 전문가 아기 입맛과 청국장하고 매핑이 안 되는 거 같은데,골목식당 지짐이집 제자리걸음 반복 답답한 백종원종합,0.0
근데 김은숙 작가 작품은 항상 후반부는 쳐진다ㅠㅠ,none,"""'미스터 션샤인' 김갑수, 이병헌 살려 보냈다 """"가라""""""
",근데 김은숙 작가 작품은 항상 후반부는 쳐진 다ㅠㅠ,미스터 션 샤인 김갑수 병헌 살려 보냈다 가라,0.0
근데 김지석은 나올 짬밥이 아닌데,none,"""“김부활 될 뻔” ‘미운우리새끼’ 김지석, 독립운동가 할아버지 작명 센스 언급""
",근데 김지석은 나올 짬밥이 아닌데,김 부활 될 뻔 미운 새끼 김지석 독립운동가 할아버지 작명 센스 언급,0.0
근데 난 서장훈 낯빛이 어두운게 간이 되게 안좋은 사람처럼 보이든데..검사 한 번 받아보길,none,"""'핸섬 타이거즈', 감격의 첫 승…손지창, 진심 조언 """"또 한 번의 기적 만들길"""" [종합]""
",근데 난 서장훈 낯빛이 어두운 게 간이 되게 안 좋은 사람처럼 보이든데검사 한 번 받아보길,핸섬 타이거즈 감격의 첫 승 손지창 진심 조언 한 번의 기적 만들길 종합,0.0
근데 너무 김수현 말투 따라하는 느낌이...목소리가 비슷한데 말투까지...,none,"""'백일의 낭군님' 도경수 음소거 눈물, 시청자도 울었다 '대체불가 연기력'""
",근데 너무 김수현 말투 하는 느낌이목소리가 비슷한데 말투까지,백일의 낭군님 도 경수 음소거 눈물 시청자도 울었다 대체 불가 연기력,0.0
근데 누구래?,none,"[인터뷰]류현경 “JIFF 심사기준? 정성이 느껴지는 영화 만나고파”
",근데 누구래,인터뷰 류현경 jiff 심사기준 정성이 느껴지는 영화 만나고파,0.0
근데 누구에요???,none,"""빅뱅 탑, 뜬금없는 만취 방송 “사람들이 너무 못됐다…국내 복귀 생각 없어”""
",근데 누구에요,빅뱅 탑 뜬금없는 만 취 방송 사람들이 너무 못됐다 국내 복귀 생각 없어,0.0
근데 댓글이 애교스럽던데 ? 기분나쁜 투라기보다는,none,"""[엑's 프리즘] """"편하게 이야기 나누려다""""…구준회, 실망한 팬들 마음 돌릴까""
",근데 댓글이 애교스럽던 데 기분 나쁜 투라기보다는,엑s 프리즘 편하게 이야기 누려다 준회 실망한 팬들 마음 돌릴까,0.0
근데 델루나 특집을 왜 kbs에서 하는거임??kbs는 존심도 없나?? 스카이캐슬 때도 그렇고 얘넨 타 방송국 프로에 왜 자꾸 빨대 꽂는데????,hate,"""[리뷰IS] '해투4' 역시 장만월 사장, 아이유 전화 통화만으로 존재감""
",근데 델루나 특집을 kbs에서 하는 거임 kbs는 존심도 없나 스카이캐슬 때도 그렇고 얘넨 타 방송국 프로에 자꾸 빨대 꽂는데,리뷰is 해투4 역시 장만 사장 아이유 전화 통화만으로 존재감,2.0
근데 도대체 누구냐 ㅡㅡ 연예인이라고 아무나 기사 막 내버리네,none,"""[단독] 황인영♥류정한, 오늘 득녀…첫째딸 순산""
",근데 도대체 누구냐 ㅡㅡ 연예인이라고 아무나 기사 막 내버리네,단독 황인영 류정한 오늘 득녀 첫째 딸 순산,0.0
근데 멤버가 매니저집 찾아갈수도 있는건 아닌가?ㅜ강성훈 좋아하는데 사과해라,offensive,"[DA:리뷰] ‘섹션TV’ 강성훈 논란…YG 양현석 “젝스키스 재정비 필요”
",근데 멤버가 매니저 집 찾아갈 수도 있는 건 아닌가ㅜ 강성훈 좋아하는데 사과해라,da 리뷰 섹션 tv 강성훈 논란yg 양현석 젝스키스 재정비 필요,1.0
근데 무대 백스크린에 들어가는 문구까지 산이가 일일이 컨펌한거야?,none,"""'킬빌' 산이, 'I♥몰카' 문구 논란 직접 입장 밝힐까(종합)[Oh!쎈 이슈]""
",근데 무대 백스크린에 들어가는 문구까지 산이 일일이 컨펌한 거야,킬빌 산이 i몰카 문구 논란 직접 입장 밝힐까 종합oh쎈 이슈,0.0
근데 민아까지 나가면 노래는 누가한다냐??,none,"""[공식] FNC """"AOA 민아 탈퇴, 지민·설현·유나·혜정·찬미 재계약""""""
",근데 민아까지 나가면 노래는 누가 한다냐,공식 fnc aoa 민아 탈퇴 지민설현유나혜정찬미 재계약,0.0
근데 박보검이랑 나오는 드라마는 도저히 못 보겠다.....,none,"""[★SNS]'송중기 ♥' 송혜교, 잡티 無 피부+동안 근황 포착""
",근데 박보검이랑 나오는 드라마는 도저히 못 보겠다,sns 송중기 송혜교 잡티 無 피부 근황 포착,0.0
근데 방탄엔 강다니엘보다 잘생긴 사람 없는건 사실이자나,offensive,"""방탄소년단, 美 '코든쇼'서 '블랙 스완' 무대 최초 공개..올블랙+맨발 퍼포먼스[종합]""
",근데 방탄엔 강 다니엘보다 잘생긴 사람 없는 건 사실이자나,방탄소년단 美 코든쇼 서 블랙 스완 무대 최초 공개올블랙맨발 퍼포먼스종합,1.0
근데 백선생님은 왜그렇게 고함을지르시는지 그래서 시청율이 오르니까 제작진이 계속 편집도 그렇게 하는거 같던데 한번씩 듣기 불편할때가 있네요 좋은 의도가 다는 아닙니다,none,"""'골목식당' 지짐이집, 제자리걸음 반복…답답한 백종원(종합)""
",근데 백 선생님은 그렇게 고함을 지르시는지 시 청율이 오르니까 제작진이 계속 편집도 그렇게 하는 거 같던데 한 번씩 듣기 불편할 때가 있네요 좋은 의도가 다는 아닙니다,골목식당 지짐이집 제자리걸음 반복 답답한 백종원종합,0.0
근데 백종원 씨 스타일이 너무 아재스타일이긴함요즘은 맛보다 허세인경우가 많음 사장인격 문제된마카롱집도 여전히 장사 잘됨 이뿌기만 해도 어느정도먹히는 세상임..,hate,"""'골목식당' 백종원, 원테이블에 솔루션 """"좋아하는 일 해라"""" (종합)""
",근데 백종원 씨 스타일이 너무 아재 스타일이 긴 함요즘은 맛보다 허세인 경우가 많음 사장 인 격 문제된 마카롱 집도 장사 잘됨 뿌기만 해도 정도 먹히는 세상임,골목식당 백종원 원테이블에 솔루션 좋아하는 해라 종합,2.0
"근데 범죄된 것만 문제삼아라... 잠자리에 미치든, 호색적이든 왜 그걸 문제삼냐?",offensive,"""""""정준영, 잠자리에 미친사람""""→""""직접 본 것""""…강혁민, 정준영 폭로 이유[종합]""
",근데 범죄된 것만 문제 삼아라 잠자리에 미치든 호색적이든 그걸 문제 삼냐,정준영 잠자리에 미친 사람 직접 본 강혁민 정준영 폭로 이유종합,1.0
